Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_Run-06_21Sep12_Eagle_12-06-13	0.001271	0	15.5728	25.3005	49.29	69.94	33.11	24.89	72.92	7.57	11.286	237	2371	1.475	1.114	0	0	741.9173	0.001773	0.393617	0	4.437	56.61	13739	19.826	70937	-0.029766	0.216916	-17.414	-17.31	100	141.6	715	0.0232	0.1132	0.138	0.1595	7.08	-7.084	772	690	672	0.019345
QC_Shew_12_02_Run-06_23Aug12_Eagle_12-06-13	0	0	0.5184	5.787	92.98	100.03	83.53	37.55	118.8	0	0	7	80	1.818	1	7	6	868.0456	0	2	0	10	7.739	23477	1.01	7.85E+04	-0.153488	0.160234	-74.757	-41.577	100	74.34	1001	0	0.0061	0	0	6.67	-6.671	3	3	3	0
QC_Shew_12_02_Run-06_24Sep12_Eagle_12-06-13	0	0	9.7503	3.7948	55.06	53.93	35.78	56.44	50.66	10.8	1.667	143	1432	1.166	1.039	0	0	654.8471	0	0.237288	0	10	30.89	1698.9	6.883	7413	-0.061506	0.237687	-44.067	-40.507	100	45.295	380	0.0064	0.0129	0.0238	0.0039	6.77	-6.77	73	64	62	0
QC_Shew_12_02_Run-06_28Aug12_Eagle_12-06-13	0	0.001217	15.6029	26.3413	49.42	75	35.03	24.22	83.38	6.955	12.714	243	2435	1.448	1.115	0	0	742.0291	0	0.478417	0	10	39.665	16574	18.596	90256	-0.106444	0.250356	-57.814	-56.069	100	142.2	820	0.0167	0.1045	0.1479	0.1594	7.11	-7.108	808	741	704	0.015625
QC_Shew_12_02_Run-06_30Aug12_Eagle_12-06-13	0.002548	0.005096	8.7267	44.9196	53.47	68.35	28.97	20.49	69.54	7.986	7	154	1543	1.527	1.153	2	1	891.8055	0.01938	0.501938	0	10	66.33	65020.5	15.327	369832	-0.023896	0.229178	-11.059	-11.021	33.258	103.95	878	0.001	0.0277	0.1685	0.1972	6.99	-6.99	763	674	629	0.030207
QC_Shew_12_02_Run-06_4Sep12_Eagle_12-06-13	0	0.003701	16.2238	41.5439	37.12	46.3	34.81	25.68	51.16	5.566	5.483	287	2863	1.557	1.127	0	0	827.9526	0.031283	0.377477	0	0.331	49.945	88171.5	12.694	347711	-0.031916	0.223201	-16.768	-16.752	34.219	119	842	0.0075	0.1535	0.1844	0.2188	7.24	-7.235	1317	1143	1056	0.027462
QC_Shew_12_02_Run-06_6Dec12_Lion_12-10-04	0.045213	0	22.1873	8.5184	44.15	44.98	26.31	83.41	45.35	5.381	2.333	389	3829	1.575	1.184	12	12	775.6587	0	0.613734	0	3.51	12.47	12565.5	152.424	300222	-0.040457	0.258424	-23.138	-23.105	36.23	67.88	796	0.0102	0.0379	0.0411	0.0846	6.95	-6.951	375	169	163	0.006135
QC_Shew_12_02_Run-06_7Dec12_Lion_12-10-04	0.000668	0	19.9894	37.3698	46.93	55.37	37.55	37.47	52.61	4.528	8.48	444	3907	1.523	1.131	9	7	798.7352	0.004596	0.371324	0	0.076	52.115	404240	20.338	1871600	-0.065556	0.269385	-37.926	-37.409	5.256	130.3	808	0.0992	0.1339	0.1522	0.1971	7.51	-7.509	1467	1261	1184	0.017736
QC_Shew_12_02_Run-06a_25Sep12_Eagle_12-06-13	0	0	0	NULL	56.99	52.27	47.21	75.16	57.13	0	0	0	1	1.64	0	0	0	736.1142	0	0	0	10	0	0	0	5671	-0.085958	0.085958	-38.977	-38.977	100	0	241	0	0	0	0.0007	6.68	-6.682	1	1	1	0
QC_Shew_12_02_Run-07_11Sep12_Eagle_12-01-12	NULL	NULL	0	NULL	32.69	33.2	11.38	64.35	33.35	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	-5.402	0	0	0	0
QC_Shew_12_02_Run-07_12Dec12_Lion_12-10-03	NULL	NULL	0	NULL	4.18	4.58	3.2	4.26	2.69	0	0	0	0	0	0	71	123	0	0	0	0	10	0	0	0	0.00E+00	0	0	0	0	0	0	0	0	0	0	0	6.54	-6.544	0	0	0	0
QC_Shew_12_02_Run-07_13Dec12_Lion_12-10-03	0	0.000922	17.3736	30.8514	79.37	87.41	57.41	68.12	87.91	3.187	4.882	340	3362	1.731	1.261	40	39	736.415	0.014925	0.230769	0	10	54.21	60.721	11.977	2184200	-0.060166	0.274035	-35.084	-34.918	5	134	755	0.126	0.1199	0.1474	0.1952	7.76	-7.755	1058	794	742	0.014825
